id,country,region,county,district
115,0,7,167,366
116,0,7,167,366
117,0,7,167,366
118,0,6,162,355
119,0,6,162,355
120,0,6,168,368
121,0,6,149,123
122,0,2,67,95
123,0,2,67,40
124,0,6,77,194
125,0,6,77,319
126,0,6,77,52
127,0,6,77,330
128,3,8,127,275
129,3,8,127,275
130,3,8,2,2
131,3,8,2,2
132,3,8,109,236
133,3,8,116,248
134,3,8,23,54
135,3,8,130,278
136,0,7,138,288
137,0,7,167,366
138,0,7,167,366
139,0,6,108,342
140,0,6,108,342
141,0,6,108,296
142,0,6,17,376
143,0,2,67,163
144,0,2,67,14
145,0,2,67,159
146,0,1,61,17
147,0,1,61,253
148,0,1,61,253
149,-1,-1,-1,-1
150,3,8,127,275
151,3,8,127,275
152,3,8,131,279
153,3,8,131,279
154,3,8,131,279
155,3,8,112,239
156,3,8,112,239
157,3,8,130,278
158,3,8,130,278
159,0,7,66,134
160,0,7,66,314
161,0,7,66,89
162,0,6,108,362
163,0,6,108,362
164,0,6,17,11
165,0,6,17,11
166,0,1,72,96
167,0,1,72,113
168,0,1,61,125
169,0,1,61,59
170,0,1,61,190
171,0,1,61,327
172,0,1,61,327
173,3,8,127,275
174,3,8,127,275
175,3,8,127,275
176,3,8,131,279
177,3,8,131,279
178,3,8,131,279
179,3,8,112,239
180,3,8,112,239
181,3,8,44,91
182,0,9,44,91
183,0,9,44,91
184,0,7,66,329
185,0,7,66,89
186,0,6,108,362
187,0,6,108,61
188,0,6,17,11
189,0,6,17,11
190,0,1,25,57
191,0,1,72,218
192,0,1,61,341
193,0,1,61,34
194,0,1,61,34
195,0,1,61,327
196,0,1,147,327
197,3,8,127,275
198,3,8,127,275
199,3,8,128,276
200,3,8,128,276
201,3,8,128,276
202,3,8,112,239
203,3,8,112,239
204,0,9,44,91
205,0,9,44,91
206,0,9,44,91
207,0,9,171,375
208,0,9,171,375
209,0,9,161,313
210,0,0,103,295
211,0,0,103,295
212,0,6,91,204
213,0,1,7,21
214,0,1,22,286
215,0,1,22,286
216,0,1,147,305
217,0,1,147,12
218,0,1,147,200
219,0,1,147,315
220,0,1,147,315
221,3,8,128,276
222,3,8,128,276
223,3,8,112,239
224,3,8,112,239
225,3,8,112,239
226,0,9,44,91
227,0,9,171,191
228,0,9,171,375
229,0,9,161,313
230,0,9,161,348
231,0,9,161,257
232,0,0,103,99
233,0,0,103,353
234,0,1,22,167
235,0,1,22,167
236,0,1,22,108
237,0,1,147,133
238,0,1,147,305
239,0,1,147,200
240,0,1,147,315
241,0,1,147,315
242,-1,-1,-1,-1
243,3,8,128,276
244,3,8,112,239
245,3,8,112,239
246,0,9,126,274
247,0,9,126,274
248,0,9,126,274
249,0,9,143,299
250,0,9,8,23
251,0,9,161,225
252,0,0,82,150
253,0,0,82,150
254,0,0,103,116
255,0,0,103,116
256,0,1,22,167
257,0,1,22,131
258,0,1,95,176
259,0,1,95,35
260,0,1,95,294
261,0,1,95,294
262,0,1,147,350
263,-1,-1,-1,-1
264,3,8,68,145
265,3,8,112,239
266,3,8,112,239
267,0,9,126,274
268,0,9,126,274
269,0,9,152,326
270,0,9,143,299
271,0,9,143,185
272,0,0,82,226
273,0,0,82,164
274,0,0,82,150
275,0,0,119,261
276,0,0,83,291
277,0,0,83,290
278,0,1,95,176
279,0,1,95,176
280,0,1,95,35
281,0,1,95,294
282,0,1,95,39
283,0,1,95,142
284,1,-1,-1,-1
285,1,-1,-1,-1
286,1,-1,-1,-1
287,3,8,68,145
288,1,-1,-1,-1
289,1,-1,-1,-1
290,1,-1,-1,-1
291,0,9,126,274
292,0,9,126,274
293,0,9,143,307
294,0,9,143,119
295,0,0,48,287
296,0,0,82,259
297,0,0,105,259
298,0,0,83,291
299,0,0,83,291
300,0,0,83,290
301,0,0,83,290
302,0,1,95,176
303,0,1,95,222
304,0,1,95,222
305,0,1,95,222
306,0,1,95,222
307,1,-1,-1,-1
308,1,-1,-1,-1
309,1,-1,-1,-1
310,1,-1,-1,-1
311,1,-1,-1,-1
