id,x,y,x,y
45,-3.61772406826469,50.3830212440354,285,55
46,-3.47710446624558,50.3848922492859,295,55
47,-5.16920607141622,50.4410428242735,175,65
48,-5.02856659771027,50.4447915249345,185,65
49,-4.88789797548086,50.4483704184465,195,65
50,-4.74720154864505,50.4517794228871,205,65
51,-4.60647866280279,50.4550184601944,215,65
52,-4.46573066515655,50.4580874561727,225,65
53,-4.32495890443059,50.4609863404982,235,65
54,-4.1841647307901,50.4637150467246,245,65
55,-4.04334949575997,50.4662735122879,255,65
56,-3.90251455214357,50.4686616785112,265,65
57,-3.76166125394107,50.4708794906095,275,65
58,-3.6207909562678,50.4729268976932,285,65
59,-3.47990501527229,50.4748038527726,295,65
60,-2.49337951075377,50.4831667555191,365,65
61,-5.03431885704383,50.5346061831293,185,75
62,-4.89338398856151,50.5381964512545,195,75
63,-4.75242113016088,50.5416162919609,205,75
64,-4.61143163635951,50.5448656267051,215,75
65,-4.47041686329565,50.5479443808336,225,75
66,-4.32937816864666,50.5508524835885,235,75
67,-4.18831691154719,50.5535898681132,245,75
68,-4.04723445250712,50.5561564714574,255,75
69,-3.90613215332928,50.5585522345816,265,75
70,-3.76501137702697,50.5607771023622,275,75
71,-3.62387348774135,50.5628310235952,285,75
72,-3.48271985065852,50.5647139510004,295,75
73,-2.49431830942688,50.5731034696295,365,75
74,-2.07061827252316,50.5741309746575,395,75
75,-1.92938172747684,50.5741309746575,405,75
76,-1.36445611443489,50.5724184925904,445,75
77,-1.22323670752069,50.5715623008915,455,75
78,-4.89889799178444,50.6280206604206,195,85
79,-4.75766734729638,50.6314513783935,205,85
80,-4.61640988939165,50.6347110495506,215,85
81,-4.47512698322594,50.6377995987765,225,85
82,-4.33381999551161,50.6407169548758,235,85
83,-4.1924902944349,50.6434630505781,245,85
84,-4.05113924957295,50.6460378225432,255,85
85,-3.90976823181062,50.6484412113664,265,85
86,-3.76837861325704,50.6506731615824,275,85
87,-3.62697176716207,50.6527336216702,285,85
88,-3.48554906783245,50.6546225440564,295,85
89,-3.34411189054791,50.6563398851196,305,85
90,-3.20266161147703,50.6578856051931,315,85
91,-3.06119960759304,50.6592596685683,325,85
92,-2.77824593679558,50.6614927021952,345,85
93,-2.63675702709194,50.6623516208429,355,85
94,-2.49526190682564,50.6630387795878,365,85
95,-2.35376195572563,50.6635541625462,375,85
96,-2.21225855381789,50.6638977578045,385,85
97,-2.07075308134063,50.6640695574195,395,85
98,-1.92924691865937,50.6640695574195,405,85
99,-1.50473809317436,50.6630387795878,435,85
100,-1.36324297290806,50.6623516208429,445,85
101,-1.22175406320442,50.6614927021952,455,85
102,-1.08027274341054,50.6604620434972,465,85
103,-4.76294037807041,50.7212846803219,205,95
104,-4.62141359090048,50.7245547271422,215,95
105,-4.47986118491359,50.7276531086733,225,95
106,-4.33828453593989,50.730579753278,235,95
107,-4.19668502130024,50.7333345932689,245,95
108,-4.05506401972233,50.7359175649127,255,95
109,-3.91342291125648,50.738328608436,265,95
110,-3.77176307719132,50.7405676680292,275,95
111,-3.63008589996923,50.7426346918515,285,95
112,-3.48839276310157,50.744529632034,295,95
113,-3.34668505108382,50.7462524446842,305,95
114,-3.20496414931052,50.7478030898891,315,95
115,-3.06323144399004,50.7491815317182,325,95
116,-2.92148832205929,50.7503877382262,335,95
117,-2.77973617109825,50.7514216814558,345,95
118,-2.63797637924445,50.7522833374393,355,95
119,-2.49621033510734,50.752972686201,365,95
120,-2.35443942768258,50.7534897117586,375,95
121,-2.21266504626627,50.7538344021241,385,95
122,-2.07088858036917,50.754006749305,395,95
123,-1.92911141963083,50.754006749305,405,95
124,-1.78733495373373,50.7538344021241,415,95
125,-1.64556057231742,50.7534897117586,425,95
126,-1.50378966489266,50.752972686201,435,95
127,-1.36202362075555,50.7522833374393,445,95
128,-1.22026382890175,50.7514216814558,455,95
129,-1.07851167794071,50.7503877382262,465,95
130,-0.936768556009958,50.7491815317182,475,95
131,-0.79503585068948,50.7478030898891,485,95
132,-0.653314948916179,50.7462524446842,495,95
133,0.055064019722327,50.7359175649127,545,95
134,0.196685021300241,50.7333345932689,555,95
135,0.338284535939889,50.730579753278,565,95
136,-4.62644291144486,50.8143966578826,215,105
137,-4.48461962979952,50.8175049091891,225,105
138,-4.34277194223763,50.8204408777087,235,105
139,-4.20090123529868,50.823204495333,245,105
140,-4.05900889694509,50.8257956979326,255,105
141,-3.91709631647707,50.8282144253622,265,105
142,-3.77516488444733,50.8304606214651,275,105
143,-3.63321599257556,50.8325342340775,285,105
144,-3.49125103366269,50.8344352150329,295,105
145,-3.34927140150508,50.8361635201654,305,105
146,-3.20727849080843,50.8377191093135,315,105
147,-3.06527369710163,50.8391019463227,325,105
148,-2.92325841665047,50.8403119990489,335,105
149,-2.78123404637121,50.8413492393606,345,105
150,-2.63920198374403,50.8422136431408,355,105
151,-2.49716362672648,50.8429051902893,365,105
152,-2.35512037366674,50.8434238647241,375,105
153,-2.21307362321688,50.8437696543825,385,105
154,-2.07102477424611,50.8439425512224,395,105
155,-1.92897522575389,50.8439425512224,405,105
156,-1.78692637678312,50.8437696543825,415,105
157,-1.64487962633326,50.8434238647241,425,105
158,-1.50283637327352,50.8429051902893,435,105
159,-1.36079801625597,50.8422136431408,445,105
160,-1.21876595362879,50.8413492393606,455,105
161,-1.07674158334953,50.8403119990489,465,105
162,-0.93472630289837,50.8391019463227,475,105
163,-0.792721509191572,50.8377191093135,485,105
164,-0.650728598494919,50.8361635201654,495,105
165,-0.508748966337307,50.8344352150329,505,105
166,-0.366784007424443,50.8325342340775,515,105
167,-0.224835115552669,50.8304606214651,525,105
168,-0.0829036835229325,50.8282144253622,535,105
169,0.0590088969450861,50.8257956979326,545,105
170,0.200901235298679,50.823204495333,555,105
171,0.342771942237626,50.8204408777087,565,105
172,0.484619629799516,50.8175049091891,575,105
173,0.626442911444857,50.8143966578826,585,105
174,-4.63149802315895,50.9042368401651,215,115
175,-4.48940248081619,50.9073549989823,225,115
176,-4.34728236811855,50.9103003270767,235,115
177,-4.20513908090906,50.9130727559155,245,115
178,-4.06297401647003,50.9156722209696,255,115
179,-3.92078857343695,50.9180986617186,265,115
180,-3.77858415171218,50.9203520216556,275,115
181,-3.63636215237845,50.9224322482916,285,115
182,-3.4941239776122,50.9243392931593,295,115
183,-3.35187103059672,50.9260731118175,305,115
184,-3.2096047154351,50.9276336638537,315,115
185,-3.06732643706312,50.929020912888,325,115
186,-2.92503760116189,50.9302348265755,335,115
