id,x,y
716,245,265
717,255,265
718,265,265
719,275,265
720,285,265
721,295,265
722,305,265
723,315,265
724,325,265
725,335,265
726,345,265
727,355,265
728,365,265
729,375,265
730,385,265
731,395,265
732,405,265
733,415,265
734,425,265
735,435,265
736,445,265
737,455,265
738,465,265
739,475,265
740,485,265
741,495,265
742,505,265
743,515,265
744,525,265
745,535,265
746,545,265
747,555,265
748,565,265
749,575,265
750,585,265
751,595,265
752,605,265
753,615,265
754,625,265
755,635,265
756,645,265
757,255,275
758,265,275
759,275,275
760,285,275
761,295,275
762,305,275
763,315,275
764,325,275
765,335,275
766,345,275
767,355,275
768,365,275
769,375,275
770,385,275
771,395,275
772,405,275
773,415,275
774,425,275
775,435,275
776,445,275
777,455,275
778,465,275
779,475,275
780,485,275
781,495,275
782,505,275
783,515,275
784,525,275
785,535,275
786,545,275
787,555,275
788,565,275
789,575,275
790,585,275
791,595,275
792,605,275
793,615,275
794,625,275
795,635,275
796,645,275
797,265,285
798,275,285
799,285,285
800,295,285
801,305,285
802,315,285
803,325,285
804,335,285
805,345,285
806,355,285
807,365,285
808,375,285
809,385,285
810,395,285
811,405,285
812,415,285
813,425,285
814,435,285
815,445,285
816,455,285
817,465,285
818,475,285
819,485,285
820,495,285
821,505,285
822,515,285
823,525,285
824,535,285
825,545,285
826,555,285
827,565,285
828,575,285
829,585,285
830,595,285
831,605,285
832,615,285
833,625,285
834,635,285
835,645,285
836,655,285
837,265,295
838,275,295
839,285,295
840,295,295
841,305,295
842,315,295
843,325,295
844,335,295
845,345,295
846,355,295
847,365,295
848,375,295
849,385,295
850,395,295
851,405,295
852,415,295
853,425,295
854,435,295
855,445,295
856,455,295
857,465,295
858,475,295
859,485,295
860,495,295
861,505,295
862,515,295
863,525,295
864,535,295
865,545,295
866,555,295
867,565,295
868,575,295
869,585,295
870,595,295
871,605,295
872,615,295
873,625,295
874,635,295
875,645,295
876,655,295
877,255,305
878,265,305
879,275,305
880,285,305
881,295,305
882,305,305
883,315,305
884,325,305
885,335,305
886,345,305
887,355,305
888,365,305
889,375,305
890,385,305
891,395,305
892,405,305
893,415,305
894,425,305
895,435,305
896,445,305
897,455,305
898,465,305
899,475,305
900,485,305
901,495,305
902,505,305
903,515,305
904,525,305
905,535,305
906,545,305
907,555,305
908,565,305
909,575,305
910,585,305
911,595,305
912,605,305
913,615,305
914,625,305
915,635,305
916,645,305
917,265,315
918,275,315
919,285,315
920,295,315
921,305,315
922,315,315
923,325,315
924,335,315
925,345,315
926,355,315
927,365,315
928,375,315
929,385,315
930,395,315
931,405,315
932,415,315
933,425,315
934,435,315
935,445,315
936,455,315
937,465,315
938,475,315
939,485,315
940,495,315
941,505,315
942,515,315
943,525,315
944,535,315
945,545,315
946,555,315
947,565,315
948,575,315
949,585,315
950,595,315
951,605,315
952,615,315
953,625,315
954,635,315
955,645,315
956,215,325
957,225,325
958,255,325
959,265,325
960,275,325
961,285,325
962,295,325
963,305,325
964,315,325
965,325,325
966,335,325
967,345,325
968,355,325
969,365,325
970,375,325
971,385,325
972,395,325
973,405,325
974,415,325
975,425,325
976,435,325
977,445,325
978,455,325
979,465,325
980,475,325
981,485,325
982,495,325
983,505,325
984,515,325
985,525,325
986,535,325
987,545,325
988,555,325
989,565,325
990,575,325
991,585,325
992,595,325
993,605,325
994,615,325
995,625,325
996,635,325
997,645,325
998,225,335
999,235,335
1000,245,335
1001,255,335
1002,265,335
1003,275,335
1004,285,335
1005,295,335
1006,305,335
1007,315,335
1008,325,335
1009,335,335
1010,345,335
1011,355,335
1012,365,335
1013,375,335
1014,385,335
1015,395,335
1016,405,335
1017,415,335
1018,425,335
1019,435,335
1020,445,335
1021,455,335
1022,465,335
1023,475,335
1024,485,335
1025,495,335
1026,505,335
1027,515,335
1028,525,335
1029,535,335
1030,545,335
1031,565,335
1032,575,335
1033,585,335
1034,595,335
1035,605,335
1036,615,335
1037,625,335
1038,235,345
1039,245,345
1040,255,345
1041,265,345
1042,275,345
1043,285,345
1044,295,345
1045,305,345
1046,315,345
1047,325,345
1048,335,345
1049,345,345
1050,355,345
1051,365,345
1052,375,345
1053,385,345
1054,395,345
1055,405,345
1056,415,345
1057,425,345
1058,435,345
1059,445,345
1060,455,345
1061,465,345
1062,475,345
1063,485,345
1064,495,345
1065,505,345
1066,515,345
1067,525,345
1068,535,345
1069,575,345
1070,585,345
1071,595,345
1072,605,345
1073,615,345
1074,245,355
1075,255,355
1076,265,355
1077,275,355
1078,285,355
1079,295,355
1080,305,355
1081,315,355
1082,325,355
1083,335,355
1084,345,355
1085,355,355
1086,365,355
1087,375,355
1088,385,355
1089,395,355
1090,405,355
1091,415,355
1092,425,355
1093,435,355
1094,445,355
1095,455,355
1096,465,355
1097,475,355
1098,485,355
1099,495,355
1100,505,355
1101,515,355
1102,525,355
1103,535,355
1104,235,365
1105,245,365
1106,255,365
1107,265,365
1108,275,365
