OBJECTID,id,x,y
93,93,-2.636757027091940,50.662351620842898
94,94,-2.495261906825640,50.663038779587801
95,95,-2.353761955725630,50.663554162546198
96,96,-2.212258553817890,50.663897757804499
97,97,-2.070753081340630,50.664069557419502
104,104,-4.621413590900480,50.724554727142198
105,105,-4.479861184913590,50.727653108673302
106,106,-4.338284535939890,50.730579753278001
107,107,-4.196685021300240,50.733334593268900
108,108,-4.055064019722330,50.735917564912697
109,109,-3.913422911256480,50.738328608435999
110,110,-3.771763077191320,50.740567668029200
111,111,-3.630085899969230,50.742634691851499
112,112,-3.488392763101570,50.744529632034002
113,113,-3.346685051083820,50.746252444684202
114,114,-3.204964149310520,50.747803089889103
115,115,-3.063231443990040,50.749181531718200
116,116,-2.921488322059290,50.750387738226202
117,117,-2.779736171098250,50.751421681455803
118,118,-2.637976379244450,50.752283337439302
119,119,-2.496210335107340,50.752972686200998
120,120,-2.354439427682580,50.753489711758597
121,121,-2.212665046266270,50.753834402124099
122,122,-2.070888580369170,50.754006749304999
123,123,-1.929111419630830,50.754006749304999
124,124,-1.787334953733730,50.753834402124099
125,125,-1.645560572317420,50.753489711758597
126,126,-1.503789664892660,50.752972686200998
131,131,-0.795035850689480,50.747803089889103
137,137,-4.484619629799520,50.817504909189097
138,138,-4.342771942237630,50.820440877708698
139,139,-4.200901235298680,50.823204495333002
140,140,-4.059008896945090,50.825795697932598
141,141,-3.917096316477070,50.828214425362198
142,142,-3.775164884447330,50.830460621465100
143,143,-3.633215992575560,50.832534234077499
144,144,-3.491251033662690,50.834435215032897
145,145,-3.349271401505080,50.836163520165400
146,146,-3.207278490808430,50.837719109313497
147,147,-3.065273697101630,50.839101946322700
148,148,-2.923258416650470,50.840311999048900
149,149,-2.781234046371210,50.841349239360603
150,150,-2.639201983744030,50.842213643140802
151,151,-2.497163626726480,50.842905190289301
152,152,-2.355120373666740,50.843423864724102
153,153,-2.213073623216880,50.843769654382498
154,154,-2.071024774246110,50.843942551222398
155,155,-1.928975225753890,50.843942551222398
156,156,-1.786926376783120,50.843769654382498
157,157,-1.644879626333260,50.843423864724102
158,158,-1.502836373273520,50.842905190289301
159,159,-1.360798016255970,50.842213643140802
160,160,-1.218765953628790,50.841349239360603
161,161,-1.076741583349530,50.840311999048900
162,162,-0.934726302898370,50.839101946322700
163,163,-0.792721509191572,50.837719109313497
164,164,-0.650728598494919,50.836163520165400
165,165,-0.508748966337307,50.834435215032897
166,166,-0.366784007424443,50.832534234077499
167,167,-0.224835115552669,50.830460621465100
168,168,-0.082903683522932,50.828214425362198
169,169,0.059008896945086,50.825795697932598
170,170,0.200901235298679,50.823204495333002
171,171,0.342771942237626,50.820440877708698
175,175,-4.489402480816190,50.907354998982299
176,176,-4.347282368118550,50.910300327076698
177,177,-4.205139080909060,50.913072755915501
178,178,-4.062974016470030,50.915672220969597
179,179,-3.920788573436950,50.918098661718602
180,180,-3.778584151712180,50.920352021655603
181,181,-3.636362152378450,50.922432248291599
182,182,-3.494123977612200,50.924339293159299
183,183,-3.351871030596720,50.926073111817502
184,184,-3.209604715435100,50.927633663853697
185,185,-3.067326437063120,50.929020912887999
186,186,-2.925037601161890,50.930234826575500
187,187,-2.782739614070510,50.931275376608802
188,188,-2.640433882698490,50.932142538720697
189,189,-2.498121814438190,50.932836292685202
190,190,-2.355804817077100,50.933356622319899
191,191,-2.213484298710110,50.933703515486897
192,192,-2.071161667651740,50.933876964093599
193,193,-1.928838332348260,50.933876964093599
194,194,-1.786515701289890,50.933703515486897
195,195,-1.644195182922900,50.933356622319899
196,196,-1.501878185561810,50.932836292685202
197,197,-1.359566117301510,50.932142538720697
198,198,-1.217260385929490,50.931275376608802
199,199,-1.074962398838110,50.930234826575500
200,200,-0.932673562936885,50.929020912887999
201,201,-0.790395284564899,50.927633663853697
202,202,-0.648128969403283,50.926073111817502
203,203,-0.505876022387799,50.924339293159299
204,204,-0.363637847621552,50.922432248291599
205,205,-0.221415848287821,50.920352021655603
206,206,-0.079211426563045,50.918098661718602
207,207,0.062974016470034,50.915672220969597
208,208,0.205139080909057,50.913072755915501
209,209,0.347282368118545,50.910300327076698
210,210,0.489402480816191,50.907354998982299
211,211,0.631498023158945,50.904236840165098
214,214,-4.494209902404750,50.997203376704398
215,215,-4.351815968720080,51.000158100286498
216,216,-4.209398703948760,51.002939374158998
217,217,-4.066959514779150,51.005547133389598
218,218,-3.924499809268320,51.007981317079903
219,219,-3.782020996754820,51.010241868369498
220,220,-3.639524487771210,51.012328734441503
221,221,-3.497011693956300,51.014241866525502
222,222,-3.354484027967380,51.015981219902102
223,223,-3.211942903392170,51.017546753906203
224,224,-3.069389734660620,51.018938431930103
225,225,-2.926825936956670,51.020156221426603
226,226,-2.784252926129790,51.021200093911197
227,227,-2.641672118606480,51.022070024964599
228,228,-2.499084931301640,51.022765994234298
229,229,-2.356492781529850,51.023287985436603
230,230,-2.213897086916670,51.023635986357498
231,231,-2.071299265309800,51.023809988853799
232,232,-1.928700734690200,51.023809988853799
233,233,-1.786102913083330,51.023635986357498
234,234,-1.643507218470150,51.023287985436603
235,235,-1.500915068698360,51.022765994234298
236,236,-1.358327881393520,51.022070024964599
237,237,-1.215747073870210,51.021200093911197
238,238,-1.073174063043330,51.020156221426603
239,239,-0.930610265339383,51.018938431930103
240,240,-0.788057096607833,51.017546753906203
241,241,-0.645515972032615,51.015981219902102
242,242,-0.502988306043699,51.014241866525502
243,243,-0.360475512228792,51.012328734441503
244,244,-0.217979003245175,51.010241868369498
245,245,-0.075500190731684,51.007981317079903
246,246,0.066959514779148,51.005547133389598
247,247,0.209398703948764,51.002939374158998
248,248,0.351815968720077,51.000158100286498
249,249,0.494209902404753,50.997203376704398
250,250,0.636579099770274,50.994075272373600
251,251,0.778922157126776,50.990773860277997
252,252,0.921237672413630,50.987299217419398
254,254,-4.213680251589100,51.092804349203000
255,255,-4.070965529621970,51.095420434557802
256,256,-3.928230152284340,51.097862391021799
257,257,-3.785475538438500,51.100130161378502
258,258,-3.642703108154520,51.102223692479697
259,259,-3.499914282621520,51.104142935249598
260,260,-3.357110484058840,51.105887844688397
261,261,-3.214293135627010,51.107458379875901
262,262,-3.071463661338550,51.108854503974896
263,263,-2.928623485968670,51.110076184234003
264,264,-2.785774034965780,51.111123391989999
265,265,-2.642916734362020,51.111996102670297
266,266,-2.500053010683570,51.112694295795002
267,267,-2.357184290860920,51.113217954977799
268,268,-2.214312002139130,51.113567067928400
269,269,-2.071437571987970,51.113741626452303
270,270,-1.928562428012030,51.113741626452303
271,271,-1.785687997860870,51.113567067928400
272,272,-1.642815709139080,51.113217954977799
273,273,-1.499946989316430,51.112694295795002
274,274,-1.357083265637980,51.111996102670297
275,275,-1.214225965034220,51.111123391989999
276,276,-1.071376514031330,51.110076184234003
277,277,-0.928536338661445,51.108854503974896
278,278,-0.785706864372987,51.107458379875901
279,279,-0.642889515941161,51.105887844688397
280,280,-0.500085717378484,51.104142935249598
281,281,-0.357296891845480,51.102223692479697
282,282,-0.214524461561495,51.100130161378502
283,283,-0.071769847715660,51.097862391021799
284,284,0.070965529621968,51.095420434557802
285,285,0.213680251589099,51.092804349203000
286,286,0.356372900619702,51.090014196237298
287,287,0.499042060532293,51.087050040999600
288,288,0.641686316617999,51.083911952882403
289,289,0.784304255728387,51.080600005326403
290,290,0.926894466363040,51.077114275815099
291,291,1.069455538756870,51.073454845868099
292,292,1.211986064967140,51.069621801035098
295,295,-4.217983872370860,51.182667680184402
296,296,-4.074992200030190,51.185292123838600
297,297,-3.931979731992830,51.187741883121298
298,298,-3.788947896733350,51.190016900456797
299,299,-3.645898123948050,51.192117122363200
300,300,-3.502831844465280,51.194042499456003
301,301,-3.359750490155540,51.195792986452901
302,302,-3.216655493841380,51.197368542176399
303,303,-3.073548289207240,51.198769129557803
304,304,-2.930430310709060,51.199994715639797
305,305,-2.787302993483840,51.201045271578799
306,306,-2.644167773259020,51.201920772647902
307,307,-2.501026086261820,51.202621198238099
308,308,-2.357879369128480,51.203146531860398
309,309,-2.214729058813430,51.203496761146802
310,310,-2.071576592498410,51.203671877851598
311,311,-1.928423407501590,51.203671877851598
312,312,-1.785270941186570,51.203496761146802
313,313,-1.642120630871520,51.203146531860398
