id,country,region,county,district
857,0,7,167,366
858,0,7,167,366
859,0,7,167,366
860,0,7,167,366
861,0,7,167,366
862,0,6,70,328
863,0,6,70,328
864,0,6,70,367
865,0,6,70,367
866,0,6,70,367
867,0,6,70,367
868,0,6,70,367
869,0,6,70,112
870,0,6,70,112
871,0,6,70,112
872,0,6,165,65
873,0,6,165,65
874,0,6,165,65
875,0,6,165,65
876,0,6,165,65
877,0,6,165,65
878,0,6,165,165
879,0,6,165,165
880,0,6,165,165
881,0,6,165,201
882,0,6,165,201
883,0,6,165,201
884,0,6,60,352
885,0,6,60,352
886,0,6,60,352
887,0,6,60,352
888,0,6,60,352
889,0,6,60,255
890,0,6,60,255
891,0,6,60,255
892,0,6,77,340
893,0,6,60,255
894,0,6,77,10
895,0,6,77,10
896,0,6,77,272
897,0,6,77,272
898,0,6,77,272
899,-1,-1,-1,-1
900,0,7,49,214
901,0,7,49,214
902,0,7,49,214
903,0,7,49,214
904,0,7,49,214
905,0,7,49,214
906,0,7,49,214
907,0,7,49,214
908,0,7,136,363
909,0,7,136,363
910,0,7,136,363
911,0,7,136,363
912,0,7,136,363
913,0,7,136,324
914,0,7,136,324
915,0,7,136,267
916,0,7,136,267
917,0,7,136,267
918,0,7,136,267
919,0,7,136,298
920,0,7,136,298
921,0,7,136,298
922,0,7,136,196
923,0,7,136,298
924,0,7,136,298
925,0,7,136,298
926,0,7,136,298
927,0,7,167,366
928,0,7,167,366
929,0,7,167,366
930,0,7,167,366
931,0,7,167,366
932,0,7,167,366
933,0,7,167,366
934,0,7,167,366
935,0,7,167,366
936,0,7,167,366
937,0,6,70,328
938,0,6,70,328
939,0,6,70,328
940,0,6,70,367
941,0,6,70,367
942,0,6,70,367
943,0,6,70,367
944,0,6,70,112
945,0,6,70,112
946,0,6,70,112
947,0,6,70,112
948,0,6,165,65
949,0,6,149,351
950,0,6,165,65
951,0,6,165,65
952,0,6,165,165
953,0,6,165,165
954,0,6,165,165
955,0,6,165,165
956,0,6,165,201
957,0,6,165,201
958,0,6,165,201
959,0,6,60,352
960,0,6,60,352
961,0,6,60,352
962,0,6,60,352
963,0,6,60,352
964,0,6,60,352
965,0,6,77,340
966,0,6,77,340
967,0,6,77,340
968,0,6,77,10
969,0,6,77,10
970,0,6,77,10
971,0,6,77,10
972,0,6,77,272
973,0,6,77,272
974,0,6,77,272
975,-1,-1,-1,-1
976,0,7,49,214
977,0,7,49,214
978,0,7,49,214
979,0,7,49,214
980,0,7,49,214
981,0,7,49,214
982,0,7,136,363
983,0,7,136,363
984,0,7,136,363
985,0,7,136,363
986,0,7,136,363
987,0,7,136,363
988,0,7,136,363
989,0,7,136,363
990,0,7,136,267
991,0,7,136,267
992,0,7,136,267
993,0,7,136,267
994,0,7,136,267
995,0,7,136,267
996,0,7,136,196
997,0,7,136,196
998,0,7,136,196
999,0,7,136,196
1000,0,7,136,196
1001,0,7,136,298
1002,0,7,167,366
1003,0,7,167,366
1004,0,7,167,366
1005,0,7,167,366
1006,0,7,167,366
1007,0,7,167,366
1008,0,7,167,366
1009,0,7,167,366
1010,0,7,167,366
1011,0,7,167,366
1012,0,6,70,328
1013,0,6,70,328
1014,0,6,70,328
1015,0,6,70,328
1016,0,6,70,367
1017,0,6,70,367
1018,0,6,70,367
1019,0,6,70,367
1020,0,6,70,112
1021,0,6,70,112
1022,0,6,70,112
1023,0,6,70,112
1024,0,6,70,112
1025,0,6,149,351
1026,0,6,149,351
1027,0,6,149,351
1028,0,6,149,351
1029,0,6,149,351
1030,0,6,165,165
1031,0,6,165,165
1032,0,6,165,94
1033,0,6,165,201
1034,0,6,165,201
1035,0,6,60,352
1036,0,6,60,352
1037,0,6,60,352
1038,0,6,60,352
1039,0,6,60,352
1040,0,6,77,340
1041,0,6,77,340
1042,0,6,77,340
1043,0,6,77,340
1044,0,6,77,10
1045,0,6,77,10
1046,0,6,77,10
1047,0,6,77,10
1048,0,6,77,10
1049,0,6,77,272
1050,0,6,77,272
1051,0,6,77,272
1052,0,6,77,102
1053,0,6,77,102
1054,-1,-1,-1,-1
1055,-1,-1,-1,-1
1056,0,7,49,214
1057,0,7,49,214
1058,0,7,49,214
1059,0,7,49,214
1060,0,7,49,214
1061,0,7,49,214
1062,0,7,136,363
1063,0,7,136,363
1064,0,7,136,363
1065,0,7,136,363
1066,0,7,136,363
1067,0,7,136,363
1068,0,7,136,363
1069,0,7,136,363
1070,0,7,136,363
1071,0,7,136,363
1072,0,7,136,267
1073,0,7,136,267
1074,0,7,136,267
1075,0,7,136,267
1076,0,7,136,196
1077,0,7,136,196
1078,0,7,136,196
1079,0,7,136,196
1080,0,7,136,196
1081,0,7,136,196
1082,0,7,136,196
1083,0,7,167,366
1084,0,7,167,366
1085,0,7,167,366
1086,0,7,167,366
1087,0,7,167,366
1088,0,7,167,366
1089,0,7,167,366
1090,0,7,167,366
1091,0,7,167,366
1092,0,6,70,328
1093,0,6,70,328
1094,0,6,70,328
1095,0,6,70,328
1096,0,6,70,328
1097,0,6,70,367
1098,0,6,70,18
1099,0,6,70,18
1100,0,6,70,112
1101,0,6,70,112
1102,0,6,70,112
1103,0,6,70,112
1104,0,6,149,351
1105,0,6,149,351
1106,0,6,149,351
1107,0,6,149,351
1108,0,6,149,351
1109,0,6,149,205
1110,0,6,149,205
1111,0,6,149,205
1112,0,6,149,94
1113,0,6,149,323
1114,0,6,149,323
1115,0,6,149,323
1116,0,6,77,270
1117,0,6,77,270
1118,0,6,77,340
1119,0,6,77,340
1120,0,6,77,340
1121,0,6,77,340
1122,0,6,77,189
1123,0,6,77,340
1124,0,6,77,10
1125,0,6,77,10
1126,0,6,77,10
1127,0,6,77,10
1128,0,6,77,10
