id,x,y
144,197.5,-19.5
145,202.5,-19.5
146,207.5,-19.5
147,212.5,-19.5
148,217.5,-19.5
149,222.5,-19.5
150,227.5,-19.5
151,232.5,-19.5
152,237.5,-19.5
153,242.5,-19.5
154,247.5,-19.5
155,252.5,-19.5
156,257.5,-19.5
157,262.5,-19.5
158,267.5,-19.5
159,272.5,-19.5
160,277.5,-19.5
161,282.5,-19.5
162,287.5,-19.5
163,292.5,-19.5
164,182.5,-14.5
165,187.5,-14.5
166,192.5,-14.5
167,197.5,-14.5
168,202.5,-14.5
169,207.5,-14.5
170,212.5,-14.5
171,217.5,-14.5
172,222.5,-14.5
173,227.5,-14.5
174,232.5,-14.5
175,237.5,-14.5
176,242.5,-14.5
177,247.5,-14.5
178,252.5,-14.5
179,257.5,-14.5
180,262.5,-14.5
181,267.5,-14.5
182,272.5,-14.5
183,277.5,-14.5
184,282.5,-14.5
185,287.5,-14.5
186,292.5,-14.5
187,367.5,-14.5
188,182.5,-9.5
189,187.5,-9.5
190,192.5,-9.5
191,197.5,-9.5
192,202.5,-9.5
193,207.5,-9.5
194,212.5,-9.5
195,217.5,-9.5
196,222.5,-9.5
197,227.5,-9.5
198,232.5,-9.5
199,237.5,-9.5
200,242.5,-9.5
201,247.5,-9.5
202,252.5,-9.5
203,257.5,-9.5
204,262.5,-9.5
205,267.5,-9.5
206,272.5,-9.5
207,277.5,-9.5
208,282.5,-9.5
209,287.5,-9.5
210,292.5,-9.5
211,297.5,-9.5
212,367.5,-9.5
213,187.5,-4.5
214,192.5,-4.5
215,197.5,-4.5
216,202.5,-4.5
217,207.5,-4.5
218,212.5,-4.5
219,217.5,-4.5
220,222.5,-4.5
221,227.5,-4.5
222,232.5,-4.5
223,237.5,-4.5
224,242.5,-4.5
225,247.5,-4.5
226,252.5,-4.5
227,257.5,-4.5
228,262.5,-4.5
229,267.5,-4.5
230,272.5,-4.5
231,277.5,-4.5
232,282.5,-4.5
233,287.5,-4.5
234,292.5,-4.5
235,297.5,-4.5
236,362.5,-4.5
237,367.5,-4.5
238,392.5,-4.5
239,397.5,-4.5
240,402.5,-4.5
241,447.5,-4.5
242,452.5,-4.5
243,457.5,-4.5
244,192.5,0.5
245,197.5,0.5
246,202.5,0.5
247,207.5,0.5
248,212.5,0.5
249,217.5,0.5
250,222.5,0.5
251,227.5,0.5
252,232.5,0.5
253,237.5,0.5
254,242.5,0.5
255,247.5,0.5
256,252.5,0.5
257,257.5,0.5
258,262.5,0.5
259,267.5,0.5
260,272.5,0.5
261,277.5,0.5
262,282.5,0.5
263,287.5,0.5
264,292.5,0.5
265,297.5,0.5
266,302.5,0.5
267,307.5,0.5
268,357.5,0.5
269,362.5,0.5
270,367.5,0.5
271,372.5,0.5
272,377.5,0.5
273,382.5,0.5
274,387.5,0.5
275,392.5,0.5
276,397.5,0.5
277,402.5,0.5
278,437.5,0.5
279,442.5,0.5
280,447.5,0.5
281,452.5,0.5
282,457.5,0.5
283,202.5,5.5
284,207.5,5.5
285,212.5,5.5
286,217.5,5.5
287,222.5,5.5
288,227.5,5.5
289,232.5,5.5
290,237.5,5.5
291,242.5,5.5
292,247.5,5.5
293,252.5,5.5
294,257.5,5.5
295,262.5,5.5
296,267.5,5.5
297,272.5,5.5
298,277.5,5.5
299,282.5,5.5
300,287.5,5.5
301,292.5,5.5
302,297.5,5.5
303,302.5,5.5
304,307.5,5.5
305,312.5,5.5
306,317.5,5.5
307,322.5,5.5
308,327.5,5.5
309,347.5,5.5
310,352.5,5.5
311,357.5,5.5
312,362.5,5.5
313,367.5,5.5
314,372.5,5.5
315,377.5,5.5
316,382.5,5.5
317,387.5,5.5
318,392.5,5.5
319,397.5,5.5
320,402.5,5.5
321,407.5,5.5
322,432.5,5.5
323,437.5,5.5
324,442.5,5.5
325,447.5,5.5
326,452.5,5.5
327,457.5,5.5
328,462.5,5.5
329,207.5,10.5
330,212.5,10.5
331,217.5,10.5
332,222.5,10.5
333,227.5,10.5
334,232.5,10.5
335,237.5,10.5
336,242.5,10.5
337,247.5,10.5
338,252.5,10.5
339,257.5,10.5
340,262.5,10.5
341,267.5,10.5
342,272.5,10.5
343,277.5,10.5
344,282.5,10.5
345,287.5,10.5
346,292.5,10.5
347,297.5,10.5
348,302.5,10.5
349,307.5,10.5
350,312.5,10.5
351,317.5,10.5
352,322.5,10.5
353,327.5,10.5
354,332.5,10.5
355,337.5,10.5
356,342.5,10.5
357,347.5,10.5
358,352.5,10.5
359,357.5,10.5
360,362.5,10.5
361,367.5,10.5
362,372.5,10.5
363,377.5,10.5
364,382.5,10.5
365,387.5,10.5
366,392.5,10.5
367,397.5,10.5
368,402.5,10.5
369,407.5,10.5
370,412.5,10.5
371,417.5,10.5
372,422.5,10.5
373,427.5,10.5
374,432.5,10.5
375,437.5,10.5
376,442.5,10.5
377,447.5,10.5
378,452.5,10.5
379,457.5,10.5
380,462.5,10.5
381,482.5,10.5
382,487.5,10.5
383,212.5,15.5
384,217.5,15.5
385,222.5,15.5
386,227.5,15.5
387,232.5,15.5
388,237.5,15.5
389,242.5,15.5
390,247.5,15.5
391,252.5,15.5
392,257.5,15.5
393,262.5,15.5
394,267.5,15.5
395,272.5,15.5
396,277.5,15.5
397,282.5,15.5
398,287.5,15.5
399,292.5,15.5
400,297.5,15.5
401,302.5,15.5
402,307.5,15.5
403,312.5,15.5
404,317.5,15.5
405,322.5,15.5
406,327.5,15.5
407,332.5,15.5
408,337.5,15.5
409,342.5,15.5
410,347.5,15.5
411,352.5,15.5
412,357.5,15.5
413,362.5,15.5
414,367.5,15.5
415,372.5,15.5
416,377.5,15.5
417,382.5,15.5
418,387.5,15.5
419,392.5,15.5
420,397.5,15.5
421,402.5,15.5
422,407.5,15.5
423,412.5,15.5
424,417.5,15.5
425,422.5,15.5
426,427.5,15.5
427,432.5,15.5
428,437.5,15.5
429,442.5,15.5
430,447.5,15.5
431,452.5,15.5
432,457.5,15.5
433,462.5,15.5
434,467.5,15.5
435,472.5,15.5
436,477.5,15.5
437,482.5,15.5
438,487.5,15.5
439,492.5,15.5
440,547.5,15.5
441,552.5,15.5
442,557.5,15.5
443,562.5,15.5
444,217.5,20.5
445,222.5,20.5
446,227.5,20.5
447,232.5,20.5
448,237.5,20.5
449,242.5,20.5
450,247.5,20.5
451,252.5,20.5
452,257.5,20.5
453,262.5,20.5
454,267.5,20.5
455,272.5,20.5
456,277.5,20.5
